/* DATA DESCRIPTION:
Citation:	Loisel, Hubert (2018): Remote sensing reflectance, backscattering by particles at the sea surface, and non-water absorption coefficient at the sea surface over a broad range of oceanic and coastal marine environments. PANGAEA, https://doi.org/10.1594/PANGAEA.886090
Related to:	Loisel, Hubert; Stramski, Dariusz; Dessaily, David; Jamet, Cédric; Li, Linhai; Reynolds, Rick A (2018): An inverse model for estimating the optical absorption and backscattering coefficients of seawater from remote-sensing reflectance over a broad range of oceanic and coastal marine environments. Journal of Geophysical Research: Oceans, https://doi.org/10.1002/2017JC013632
Coverage:	MEDIAN LATITUDE: 29.465123 * MEDIAN LONGITUDE: 29.727755 * SOUTH-BOUND LATITUDE: 4.039730 * WEST-BOUND LONGITUDE: -53.952000 * NORTH-BOUND LATITUDE: 51.975300 * EAST-BOUND LONGITUDE: 109.252000
	DATE/TIME START: 2004-03-16T10:55:53 * DATE/TIME END: 2015-04-21T06:14:01
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 0 m
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr)
	LATITUDE (Latitude) * GEOCODE * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr)
	LONGITUDE (Longitude) * GEOCODE * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr)
	Solar zenith angle [deg] (SZA) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * COMMENT: thetas
	Remote sensing reflectance at 410 nm [1/sr] (Rrs_410) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: Radiometer, TriOS
	Remote sensing reflectance at 440 nm [1/sr] (Rrs_440) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: Radiometer, TriOS
	Remote sensing reflectance at 490 nm [1/sr] (Rrs_490) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: Radiometer, TriOS
	Remote sensing reflectance at 510 nm [1/sr] (Rrs_510) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: Radiometer, TriOS
	Remote sensing reflectance at 550 nm [1/sr] (Rrs_550) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: Radiometer, TriOS
	Remote sensing reflectance at 670 nm [1/sr] (Rrs_670) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: Radiometer, TriOS
	Backscattering coefficient of particles, 488 nm [1/m] (bbp488) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: ECO BB-9 (WET Labs)
	Backscattering coefficient of particles, 510 nm [1/m] (bbp510) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: ECO BB-9 (WET Labs)
	Backscattering coefficient of particles, 532 nm [1/m] (bbp532) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: ECO BB-9 (WET Labs)
	Backscattering coefficient of particles, 650 nm [1/m] (bbp650) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: ECO BB-9 (WET Labs)
	Backscattering coefficient of particles, 676 nm [1/m] (bbp676) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: ECO BB-9 (WET Labs)
	Absorption coefficient, non-water, 410 nm [1/m] (anw410) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: in-situ, ac-s instrument (WET Labs)
	Absorption coefficient, non-water, 440 nm [1/m] (anw440) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: in-situ, ac-s instrument (WET Labs)
	Absorption coefficient, non-water, 490 nm [1/m] (anw490) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: in-situ, ac-s instrument (WET Labs)
	Absorption coefficient, non-water, 510 nm [1/m] (anw510) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: in-situ, ac-s instrument (WET Labs)
	Absorption coefficient, non-water, 550 nm [1/m] (anw550) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: in-situ, ac-s instrument (WET Labs)
	Absorption coefficient, non-water, 670 nm [1/m] (anw670) * PI: Loisel, Hubert (https://orcid.org/0000-0003-2905-6465, hubert.loisel@univ-littoral.fr) * METHOD/DEVICE: in-situ, ac-s instrument (WET Labs)
License:	Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported (CC-BY-NC-SA-3.0)
Size:	5306 data points
*/
Date/Time	Depth water [m]	Latitude	Longitude	SZA [deg]	Rrs_410 [1/sr]	Rrs_440 [1/sr]	Rrs_490 [1/sr]	Rrs_510 [1/sr]	Rrs_550 [1/sr]	Rrs_670 [1/sr]	bbp488 [1/m]	bbp510 [1/m]	bbp532 [1/m]	bbp650 [1/m]	bbp676 [1/m]	anw410 [1/m]	anw440 [1/m]	anw490 [1/m]	anw510 [1/m]	anw550 [1/m]	anw670 [1/m]
2004-03-16T10:55	0	49.6650	0.0350	53.665	0.00460	0.00693	0.01130	0.01217	0.01340	0.00458			0.04952	0.04277							
2004-03-16T11:22	0	49.7010	-0.0460	52.322	0.00339	0.00459	0.00699	0.00674	0.00582	0.00150			0.00858	0.00737							
2004-03-16T12:57	0	49.8960	0.1100	52.616	0.00236	0.00306	0.00450	0.00420	0.00342	0.00056			0.01020	0.00419							
2004-03-16T13:42	0	49.8150	0.2060	55.322	0.00290	0.00414	0.00675	0.00675	0.00622	0.00118			0.01344	0.01107							
2004-03-16T14:21	0	49.7870	0.2390	58.807	0.00508	0.00686	0.01010	0.01033	0.01000	0.00220			0.02582	0.01786							
2004-03-16T14:45	0	49.7460	0.2850	61.553	0.00423	0.00644	0.01060	0.01120	0.01170	0.00250			0.04706	0.04440							
2004-03-16T15:44	0	49.8110	0.4400	69.273	0.00679	0.01004	0.01620	0.01683	0.01700	0.00370			0.05173	0.04512							
2004-03-16T16:04	0	49.8390	0.4170	72.081	0.00405	0.00612	0.01050	0.01083	0.01060	0.00212			0.03159	0.02666							
2004-03-16T16:45	0	49.8920	0.3720	78.227	0.00267	0.00362	0.00575	0.00576	0.00524	0.00102			0.00978	0.00769							
2004-04-11T08:31	0	49.4490	-0.1320	59.888	0.00049	0.00047	0.00084	0.00122	0.00257	0.00109			0.00936	0.00899							
2004-04-12T09:53	0	50.0840	0.6220	48.739	0.00247	0.00360	0.00638	0.00643	0.00594	0.00075			0.01310	0.01080							
2004-04-12T11:40	0	50.1850	0.8620	41.580	0.00100	0.00116	0.00180	0.00194	0.00237	0.00042			0.00637	0.00680							
2004-04-12T15:44	0	50.1080	1.3680	62.675	0.00517	0.00632	0.00967	0.01037	0.01190	0.00265			0.03063	0.02688							
2004-04-13T13:45	0	50.6590	1.2810	47.300	0.00096	0.00099	0.00129	0.00135	0.00161	0.00032			0.00300	0.00195							
2004-04-13T16:29	0	50.7580	1.5470	69.663	0.00055	0.00057	0.00095	0.00119	0.00199	0.00064											
2004-04-14T09:56	0	50.3910	1.2040	47.666	0.00084	0.00085	0.00111	0.00120	0.00148	0.00041			0.00259	0.00202							
2004-04-14T11:42	0	50.3920	1.4420	40.990	0.00051	0.00052	0.00068	0.00073	0.00103	0.00033											
2004-04-14T13:24	0	50.5430	1.5250	45.131	0.00047	0.00046	0.00066	0.00078	0.00122	0.00057			0.00790	0.00815							
2004-04-14T13:51	0	50.5400	1.4420	47.627	0.00063	0.00060	0.00072	0.00077	0.00101	0.00035			0.00402	0.00563							
2004-04-14T15:04	0	50.5370	1.2800	56.493	0.00083	0.00077	0.00093	0.00101	0.00130	0.00045											
2004-04-14T15:56	0	50.5390	1.1980	64.006	0.00098	0.00090	0.00104	0.00110	0.00135	0.00045			0.00637	0.00654							
2004-04-15T10:02	0	50.9760	1.6460	46.986	0.00094	0.00113	0.00183	0.00202	0.00246	0.00053			0.00765	0.00643							
2004-04-15T10:43	0	50.9450	1.6510	43.529	0.00082	0.00097	0.00175	0.00219	0.00343	0.00102											
2004-04-15T11:08	0	50.9300	1.6670	42.132	0.00130	0.00152	0.00269	0.00337	0.00537	0.00174			0.03239	0.03085							
2004-04-15T13:09	0	51.1090	2.1310	44.279	0.00056	0.00056	0.00088	0.00117	0.00207	0.00100			0.01043	0.01408							
2004-04-15T13:28	0	51.0900	2.1470	45.832	0.00062	0.00062	0.00093	0.00120	0.00204	0.00089			0.01348	0.00806							
2004-04-16T08:49	0	51.3130	2.8420	54.872	0.00134	0.00189	0.00385	0.00511	0.00832	0.00337			0.11331	0.08516							
2004-05-10T11:24	0	51.2770	2.8840	33.841	0.00260	0.00363	0.00617	0.00720	0.00918	0.00290			0.06487	0.05237							
2004-05-10T11:43	0	51.2490	2.9140	33.579	0.00120	0.00174	0.00336	0.00441	0.00703	0.00292			0.12358	0.09753							
2004-05-10T12:43	0	51.1790	2.7330	35.467	0.00280	0.00437	0.00851	0.00994	0.01280	0.00571			0.10202	0.07905							
2004-05-10T13:01	0	51.2070	2.7190	36.786	0.00237	0.00323	0.00559	0.00643	0.00813	0.00315			0.05820	0.04868							
2004-05-10T15:57	0	51.0680	2.1670	59.173	0.00084	0.00091	0.00138	0.00174	0.00269	0.00134			0.03186	0.02556							
2004-05-10T16:31	0	51.0900	2.1460	64.495	0.00081	0.00084	0.00117	0.00142	0.00198	0.00092			0.00973	0.01052							
2004-05-10T16:49	0	51.1090	2.1290	67.317	0.00080	0.00086	0.00120	0.00143	0.00194	0.00097			0.01029	0.01941							
2004-05-10T19:31	0	50.9690	1.6360	91.315	0.00070	0.00072	0.00110	0.00140	0.00212	0.00093			0.01754	0.01937							
2004-05-11T09:47	0	49.4500	-0.1300	40.877	0.00173	0.00220	0.00313	0.00331	0.00373	0.00150			0.02341	0.02212							
2004-05-11T10:16	0	49.4490	-0.0490	37.407	0.00186	0.00341	0.00665	0.00780	0.00999	0.00483			0.12420	0.09870							
2004-05-11T11:57	0	49.6430	0.1030	31.716	0.00168	0.00216	0.00324	0.00343	0.00369	0.00106			0.01723	0.01328							
2004-05-11T12:26	0	49.6690	0.0370	32.325	0.00122	0.00154	0.00239	0.00250	0.00267	0.00077			0.01413	0.00940							
2004-05-11T13:11	0	49.7050	-0.0430	35.171	0.00104	0.00118	0.00167	0.00173	0.00177	0.00062			0.00649	0.00895							
2004-05-11T15:34	0	49.8170	0.2000	53.902	0.00086	0.00092	0.00119	0.00121	0.00132	0.00038			0.00573	0.00312							
2004-05-11T15:55	0	49.7870	0.2380	57.247	0.00083	0.00111	0.00184	0.00190	0.00208	0.00040			0.00607	0.00494							
2004-05-11T16:34	0	49.7470	0.2880	63.474	0.00170	0.00239	0.00405	0.00428	0.00458	0.00100			0.01698	0.01576							
2004-05-11T17:36	0	49.8920	0.3710	73.451	0.00075	0.00074	0.00093	0.00096	0.00113	0.00065			0.00405	0.00365							
2004-05-12T08:14	0	49.8970	0.7800	53.704	0.00409	0.00574	0.00951	0.00990	0.01020	0.00226											
