Pure water absorption coefficients (/m) as function of light wavelength (nm),,,,,
"Data from Absorption protocol Table 1.1, cols. 1 & 2",,,,,
,,,,,
Original table values,,,,Interpolated to 1-nm resolution using pchip,
,,,,,
Wavelength,a_w,,,Wavelength,a_w
[nm],[/m],,,[nm],[/m]
180,7647,,,180,7647
185,527,,,181,5599.53242
190,42.4,,,182,3724.84526
195,4.23,,,183,2161.891891
200,0.727,,,184,1049.625681
205,0.304,,,185,527
210,0.207,,,186,362.7140328
215,0.16,,,187,232.5432494
220,0.128,,,188,136.0554497
225,0.104,,,189,72.81843329
230,0.086,,,190,42.4
235,0.072,,,191,29.57761316
240,0.061,,,192,19.38988967
245,0.052,,,193,11.7963596
250,0.045,,,194,6.756553021
255,0.0392,,,195,4.23
260,0.0344,,,196,3.068456796
265,0.0303,,,197,2.145349848
270,0.0269,,,198,1.452714502
275,0.024,,,199,0.9825861043
280,0.0216,,,200,0.727
285,0.0194,,,201,0.5914372703
290,0.0176,,,202,0.4845556214
295,0.016,,,203,0.4031553373
300,0.0147,,,204,0.3440367022
305,0.0134,,,205,0.304
310,0.0124,,,206,0.2757383453
315,0.0114,,,207,0.2532098051
320,0.0106,,,208,0.2351120923
325,0.0098,,,209,0.2201429197
330,0.0092,,,210,0.207
335,0.0085,,,211,0.1952255415
340,0.008,,,212,0.1849932911
345,0.0075,,,213,0.17594827
350,0.0071,,,214,0.1677354993
355,0.0068,,,215,0.16
360,0.0066,,,216,0.1526759928
365,0.0063,,,217,0.1458862061
370,0.006,,,218,0.1395584231
375,0.0056,,,219,0.1336204268
380,0.0052,,,220,0.128
385,0.005,,,221,0.1226514286
390,0.0048,,,222,0.1175771429
395,0.0047,,,223,0.1127771429
400,0.0046,,,224,0.1082514286
405,0.0046,,,225,0.104
410,0.0046,,,226,0.09999885714
415,0.0046,,,227,0.09621371429
420,0.00454,,,228,0.09262914286
425,0.00478,,,229,0.08922971429
430,0.00495,,,230,0.086
435,0.0053,,,231,0.08292224
440,0.00635,,,232,0.07998672
445,0.00751,,,233,0.07719008
450,0.00922,,,234,0.07452896
455,0.00962,,,235,0.072
460,0.00979,,,236,0.06959584
465,0.01011,,,237,0.06730432
470,0.0106,,,238,0.06511488
475,0.0114,,,239,0.06301696
480,0.0127,,,240,0.061
485,0.0136,,,241,0.0590488
490,0.015,,,242,0.0571624
495,0.0173,,,243,0.0553516
500,0.0204,,,244,0.0536272
505,0.0256,,,245,0.052
510,0.0325,,,246,0.050467
515,0.0396,,,247,0.049011
520,0.0409,,,248,0.0476215
525,0.0417,,,249,0.046288
530,0.0434,,,250,0.045
535,0.0452,,,251,0.04375289057
540,0.0474,,,252,0.0425491717
545,0.0511,,,253,0.04138900755
550,0.0565,,,254,0.04027256226
555,0.0596,,,255,0.0392
560,0.0619,,,256,0.03816995684
565,0.0642,,,257,0.03717854976
570,0.0695,,,258,0.03622216426
575,0.0772,,,259,0.03529718584
580,0.0896,,,260,0.0344
585,0.11,,,261,0.03352647826
590,0.1351,,,262,0.03267682804
595,0.1672,,,263,0.0318539387
600,0.2224,,,264,0.03106069957
605,0.2577,,,265,0.0303
610,0.2644,,,266,0.02957074641
615,0.2678,,,267,0.02886839924
620,0.2755,,,268,0.02819067886
625,0.2834,,,269,0.02753530565
630,0.2916,,,270,0.0269
635,0.3012,,,271,0.02628178497
640,0.3108,,,272,0.02568059299
645,0.325,,,273,0.02509850854
650,0.34,,,274,0.02453761605
655,0.371,,,275,0.024
660,0.41,,,276,0.02348767974
665,0.429,,,277,0.02299737884
670,0.439,,,278,0.02252323806
675,0.448,,,279,0.0220593982
680,0.465,,,280,0.0216
685,0.486,,,281,0.02114071652
690,0.516,,,282,0.02068510609
695,0.559,,,283,0.02023913739
700,0.624,,,284,0.01980877913
705,0.704,,,285,0.0194
710,0.827,,,286,0.01901357176
715,1.007,,,287,0.01864391529
720,1.231,,,288,0.01828747294
725,1.489,,,289,0.01794068706
730,1.97,,,290,0.0176
735,2.51,,,291,0.01726265639
740,2.78,,,292,0.0169305574
745,2.83,,,293,0.01660713022
750,2.85,,,294,0.01629580203
755,2.88,,,295,0.016
760,2.86,,,296,0.01572278621
765,2.86,,,297,0.01546063448
770,2.82,,,298,0.01520708966
775,2.76,,,299,0.01495569655
780,2.69,,,300,0.0147
785,2.59,,,301,0.01443457391
790,2.47,,,302,0.01416372174
795,2.36,,,303,0.01389558261
800,2.25,,,304,0.01363829565
805,2.2,,,305,0.0134
810,2.19,,,306,0.01318330435
815,2.23,,,307,0.01298121739
820,2.34,,,308,0.01278747826
825,2.61,,,309,0.01259582609
830,3.22,,,310,0.0124
835,3.72,,,311,0.01219644444
840,3.94,,,312,0.01198933333
845,4.09,,,313,0.011784
850,4.2,,,314,0.01158577778
855,4.32,,,315,0.0114
860,4.6,,,316,0.01122862222
865,4.6,,,317,0.0110672
870,4.77,,,318,0.01091146667
875,5.01,,,319,0.01075715556
