station,wavelength,a_m1,c_m1,bp_m1
C1001000,412,0.21,1.058,0.848
C1001000,440,0.164,1.006,0.842
C1001000,488,0.094,0.922,0.828
C1001000,510,0.073,0.9,0.827
C1001000,676,0.034,0.861,0.827
C1001000,715,NA,0.82,0.82
C1001000,555,0.044,0.851,0.807
C1001000,630,0.02,0.849,0.829
C1001000,650,0.022,0.854,0.832
C1002000,412,0.213,1.093,0.88
C1002000,440,0.161,1.061,0.9
C1002000,488,0.09,0.949,0.859
C1002000,510,0.073,0.933,0.86
C1002000,676,0.029,0.893,0.864
C1002000,715,NA,0.858,0.858
C1002000,555,0.043,0.876,0.833
C1002000,630,0.018,0.852,0.834
C1002000,650,0.018,0.879,0.861
C1003000,412,0.288,1.599,1.311
C1003000,440,0.229,1.604,1.375
C1003000,488,0.139,1.447,1.308
C1003000,510,0.115,1.452,1.337
C1003000,676,0.054,1.442,1.388
C1003000,715,NA,1.337,1.337
C1003000,555,0.07,1.348,1.278
C1003000,630,0.033,1.379,1.346
C1003000,650,0.032,1.406,1.374
C1004000,412,0.319,1.389,1.07
C1004000,440,0.256,1.371,1.115
C1004000,488,0.161,1.241,1.08
C1004000,510,0.131,1.225,1.094
C1004000,676,0.069,1.203,1.134
C1004000,715,NA,1.174,1.174
C1004000,555,0.079,1.186,1.107
C1004000,630,0.039,1.162,1.123
C1004000,650,0.037,1.175,1.138
C1005000,412,0.277,2.452,2.175
C1005000,440,0.21,2.337,2.127
C1005000,488,0.124,2.144,2.02
C1005000,510,0.1,2.178,2.078
C1005000,676,0.046,2.058,2.012
C1005000,715,NA,2.007,2.007
C1005000,555,0.059,2.093,2.034
C1005000,630,0.028,2.001,1.973
C1005000,650,0.027,1.991,1.964
C1006000,412,0.334,1.804,1.47
C1006000,440,0.261,1.785,1.524
C1006000,488,0.157,1.589,1.432
C1006000,510,0.126,1.602,1.476
C1006000,676,0.069,1.523,1.454
C1006000,715,NA,1.444,1.444
C1006000,555,0.069,1.502,1.433
C1006000,630,0.036,1.452,1.416
C1006000,650,0.035,1.497,1.462
C1007000,412,0.449,1.857,1.408
C1007000,440,0.354,1.761,1.407
C1007000,488,0.214,1.575,1.361
C1007000,510,0.157,1.576,1.419
C1007000,676,0.082,1.454,1.372
C1007000,715,NA,1.363,1.363
C1007000,555,0.091,1.413,1.322
C1007000,630,0.043,1.429,1.386
C1007000,650,0.041,1.458,1.417
C1008000,412,0.462,1.545,1.083
C1008000,440,0.338,1.401,1.063
C1008000,488,0.189,1.224,1.035
C1008000,510,0.151,1.17,1.019
C1008000,676,0.056,0.964,0.908
C1008000,715,NA,0.926,0.926
C1008000,555,0.087,1.092,1.005
C1008000,630,0.04,0.994,0.954
C1008000,650,0.035,0.974,0.939
C1009000,412,0.587,2.756,2.169
C1009000,440,0.428,2.641,2.213
C1009000,488,0.242,2.341,2.099
C1009000,510,0.19,2.298,2.108
C1009000,676,0.062,2.038,1.976
C1009000,715,NA,1.969,1.969
C1009000,555,0.113,2.166,2.053
C1009000,630,0.05,2.06,2.01
C1009000,650,0.043,2.082,2.039
C1010000,412,0.402,3.019,2.617
C1010000,440,0.219,2.959,2.74
C1010000,488,0.228,2.433,2.205
C1010000,510,0.14,2.911,2.771
C1010000,676,0.02,2.346,2.326
C1010000,715,NA,2.781,2.781
C1010000,555,0.108,2.429,2.321
C1010000,630,0.128,2.461,2.333
C1010000,650,NA,2.237,2.242
C1011000,412,0.107,0.391,0.284
