station,longitude,latitude,bathymetry_m
C1001000,3.7020833333333307,52.36875,-25
C1002000,3.7687499999999936,52.34791666666666,-26
C1003000,3.8312499999999936,52.31875,-24
C1004000,3.9020833333333265,52.28125,-22
C1005000,3.9812499999999993,52.26875,-21
C1006000,4.052083333333332,52.24791666666667,-21
C1007000,4.118749999999995,52.21875,-20
C1008000,4.181249999999995,52.18125,-18
C1009000,-0.6479166666666707,50.41875,-63
C1010000,-5.918750000000003,48.99791666666667,-116
C1011000,-6.197916666666671,48.73125,-129
C1012000,-7.197916666666671,47.547916666666666,-412
C1013000,-7.247916666666672,47.56875,-315
C1014000,-7.418750000000003,47.61875,-295
C1015000,-5.447916666666671,46.96875,-237
C1016000,-5.447916666666671,46.952083333333334,-198
C1017000,-9.768750000000004,44.09791666666666,-4951
C1018000,-11.818750000000005,42.868750000000006,-1066
C1019000,-11.781250000000004,42.797916666666666,-872
C1020000,-9.981250000000003,41.66875,-2903
C1021000,-11.218750000000004,37.74791666666667,-5088
C1022000,-11.197916666666671,36.71875,-392
C1023000,-11.818750000000005,34.99791666666667,-1081
C1024000,-12.968750000000004,35.01875,-792
C1025000,-12.868750000000002,34.99791666666667,-2202
C1026000,-14.297916666666671,33.73125,-900
C1027000,-14.331250000000004,33.78125,-468
C1028000,-13.181250000000002,32.71875,-1580
C1029000,-13.581250000000004,31.197916666666664,-243
C1030000,-13.64791666666667,31.147916666666667,-51
C1031000,-13.581250000000004,31.081249999999997,-1556
C1032000,-13.718750000000004,31.197916666666664,-975
C1033000,-13.068750000000005,30.647916666666667,-963
C1034000,-13.39791666666667,30.46875,-1362
C1035000,-12.718750000000004,30.147916666666667,-467
C1036000,-12.79791666666667,30.18125,-679
C1037000,-12.54791666666667,30.168750000000003,-1315
C1038000,-12.497916666666672,30.018749999999997,-817
C1039000,-12.731250000000003,29.84791666666667,-358
C1040000,-12.64791666666667,29.831249999999997,-504
C1041000,-13.431250000000002,29.297916666666666,-82
C1042000,-13.39791666666667,29.34791666666667,-126
C1043000,-13.29791666666667,29.38125,-192
C1044000,-14.74791666666667,28.18125,-184
C1045000,-13.202083333333338,29.41041666666667,-962
C1046000,-14.752083333333337,28.19375,-64
C2003000,4.489583333333332,43.36458333333333,-22
C2004000,4.472916666666659,43.35208333333333,-26
C2005000,4.489583333333332,43.35208333333333,-25
C2006000,4.385416666666661,43.22291666666666,-74
C2007000,4.439583333333328,43.17708333333333,-75
C2008000,4.481249999999999,43.12708333333333,-81
C2009000,4.514583333333331,43.08541666666667,-93
C2010000,4.552083333333332,43.03958333333333,-111
C2011000,4.422916666666662,43.41875,-16
C2012000,4.502083333333328,43.389583333333334,-17
C2013000,4.610416666666662,43.33541666666667,-10
C2014000,4.597916666666659,43.31875,-24
C2015000,4.597916666666659,43.32291666666667,-20
C3001000,12.51458333333333,45.31875,-19
C3002000,12.493749999999995,45.36458333333333,-19
C3003000,12.439583333333328,45.39375,-11
C3004000,12.51041666666666,45.31458333333333,-18
C3005000,12.381249999999998,45.38125,-7
C3006000,12.38958333333333,45.38125,-9
C3007000,12.51041666666666,45.31458333333333,-18
C3008000,12.53541666666666,45.30208333333333,-22
C3009000,12.35625,45.33125,-15
C3010000,12.35625,45.37291666666667,-4
C3011000,12.360416666666662,45.15625,-9
C3012000,12.343749999999996,45.16875,-6
C3013000,12.34791666666666,45.18125,-10
C3014000,12.34791666666666,45.19791666666667,-13
C3015000,12.32708333333333,45.25625,-12
C3016000,12.335416666666664,45.30625,-8
C3017000,12.372916666666665,45.38125,-6
C3018000,12.44791666666666,45.42708333333333,-5
C3019000,12.518749999999994,45.452083333333334,-5
C3020000,12.593749999999996,45.47291666666666,-5
C3021000,12.652083333333326,45.49791666666667,-5
C3022000,12.502083333333328,45.39375,-17
C3023000,12.51041666666666,45.31875,-19
C3024000,12.45208333333333,45.36458333333333,-17
C3025000,12.51041666666666,44.99791666666667,-3
C3026000,12.556249999999995,44.97708333333333,-3
C3027000,12.60208333333333,44.97708333333333,-27
C3028000,12.614583333333332,44.985416666666666,-29
C3029000,12.53541666666666,45.01875,-26
C3030000,12.439583333333328,45.25208333333333,-22
C3031000,12.377083333333328,45.40625,-2
C3032000,12.502083333333328,44.73125,-25
C3033000,12.497916666666665,44.86875,-5
C3034000,12.464583333333326,44.827083333333334,-3
C3035000,12.493749999999995,44.79375,-18
C3036000,13.10625,45.639583333333334,-1
C3038000,13.10208333333333,45.63541666666667,2
C3039000,13.127083333333328,45.61458333333333,-13
C3040000,12.927083333333332,45.60208333333333,-4
C4001000,5.014583333333331,43.34375,-16
C4002000,5.014583333333331,43.31458333333333,-60
C4003000,5.010416666666661,43.28125,-82
C4004000,5.010416666666661,43.25208333333333,-93
C4005000,5.014583333333331,43.22708333333333,-101
C4006000,5.014583333333331,43.19375,-108
C4007000,4.914583333333329,43.33125,-29
C4008000,4.914583333333329,43.31458333333333,-57
C4009000,4.918749999999999,43.27291666666667,-84
C4010000,4.918749999999999,43.23125,-101
C4011000,4.918749999999999,43.22291666666666,-102
C4012000,4.918749999999999,43.181250000000006,-109
C4013000,4.918749999999999,43.13541666666667,-112
C4014000,4.793749999999999,43.31875,-29
C4015000,4.789583333333329,43.28541666666666,-71
C4016000,4.789583333333329,43.235416666666666,-91
C4017000,4.785416666666659,43.20625,-95
C4018000,4.789583333333329,43.19791666666667,-97
C4019000,4.793749999999999,43.15625,-100
C4020000,4.581249999999994,43.33125,-22
C4021000,4.581249999999994,43.27291666666667,-54
C4022000,4.581249999999994,43.235416666666666,-63
C4023000,4.581249999999994,43.19375,-71
C4024000,4.585416666666664,43.15208333333334,-77
C4025000,4.585416666666664,43.110416666666666,-85
C4026000,4.456249999999994,43.38125,-22
C4027000,4.460416666666664,43.31458333333333,-39
C4028000,4.456249999999994,43.243750000000006,-65
C4029000,4.460416666666664,43.17708333333333,-73
C4030000,4.460416666666664,43.10208333333333,-83
C4031000,4.318749999999998,43.41458333333333,-19
C4032000,4.314583333333328,43.24791666666667,-73
C4033000,4.314583333333328,43.077083333333334,-90
C4034000,4.314583333333328,42.91458333333333,-112
C4035000,4.318749999999998,42.66458333333333,-994
C4036000,4.789583333333329,43.31458333333333,-37
C4037000,4.789583333333329,43.28541666666666,-71
C4038000,4.789583333333329,43.235416666666666,-91
C4039000,4.785416666666659,43.23125,-91
C4040000,4.785416666666659,43.20625,-95
C4041000,4.789583333333329,43.172916666666666,-99
C4042000,4.789583333333329,43.14375,-100
C4043000,5.447916666666661,42.80208333333333,-2186
C4044000,4.914583333333329,43.31458333333333,-57
C4045000,4.852083333333329,43.27708333333334,-84
C4046000,4.802083333333332,43.27291666666667,-80
C4047000,4.768749999999994,43.30208333333333,-50
C4048000,4.8437499999999964,43.31041666666667,-40
C5005000,-5.068750000000005,45.735416666666666,-4508
C5006000,-4.743750000000002,45.91041666666666,-3898
C5007000,-4.581250000000004,45.98125,-3855
C5008000,-2.668750000000003,46.93125,-41
C5009000,-2.6145833333333357,46.97291666666666,-35
C5010000,-2.5562500000000057,47.014583333333334,-33
C5011000,-2.506250000000005,47.05208333333333,-28
C5012000,-2.452083333333338,47.09375,-22
C5013000,-2.389583333333338,47.14375,-23
C5014000,-3.8520833333333364,49.30625,-86
C5015000,-0.16041666666666998,49.37291666666667,-14
C5016000,-0.1645833333333364,49.43125,-24
C5017000,-0.16875000000000284,49.48125,-15
C5018000,-0.1354166666666714,49.54375,-20
C5019000,-0.1645833333333364,49.58541666666667,-24
C5020000,-0.16875000000000284,49.64375,-30
C5021000,-0.16875000000000284,49.69791666666667,-35
C5022000,-0.16875000000000284,49.74791666666667,-34
C5023000,2.0312499999999964,51.39375,-38
C5024000,1.9520833333333307,51.39375,-38
C5025000,1.868749999999995,51.38541666666667,-39
C5026000,1.7812499999999964,51.39375,-41
C5027000,1.6979166666666643,51.389583333333334,-39
C5028000,1.618749999999995,51.39375,-15
C5029000,1.5312499999999964,51.39375,-14
C5030000,3.881249999999998,52.485416666666666,-26
C5031000,3.9520833333333307,52.452083333333334,-23
C5032000,4.018749999999994,52.42708333333333,-23
C5033000,4.081249999999994,52.39375,-21
C5034000,4.143749999999994,52.36875,-20
C5035000,4.2145833333333265,52.33958333333334,-17
C5036000,4.2812499999999964,52.31041666666667,-17
C5037000,4.352083333333329,52.28541666666666,-16
C5038000,1.9979166666666615,52.99791666666667,-28
C5039000,2.0854166666666636,52.99791666666667,-31
C5040000,2.1645833333333293,52.99791666666667,-34
C5041000,2.252083333333328,52.99791666666667,-43
C5042000,2.3312499999999936,52.99375,-26
C5043000,2.4145833333333293,52.99791666666667,-31
C5044000,2.493749999999995,52.99791666666667,-32
C5045000,2.5812499999999936,52.99791666666667,-35
C5046000,6.581249999999994,53.86875,-22
C5047000,6.610416666666662,53.77708333333334,-20
C5048000,6.647916666666664,53.75625,-20
C5049000,6.681249999999995,53.90625,-23
C5050000,6.7145833333333265,54.03541666666666,-30
C5051000,6.7770833333333265,54.12291666666667,-34
C5052000,6.993749999999995,54.135416666666664,-35
C5053000,7.497916666666665,54.33125,-29
C5054000,7.597916666666659,54.28125,-38
C5055000,7.697916666666661,54.26875,-31
C5056000,7.952083333333331,54.26875,-21
C5057000,8.218749999999996,54.26875,-13
C5058000,8.218749999999996,54.16875,-17
C5059000,8.218749999999996,54.03958333333333,-14
C5060000,8.081249999999994,53.99791666666667,-24
C6001000,-4.431250000000002,50.35625,-6
C6002000,-3.589583333333337,50.31041666666667,-15
C6003000,-3.568750000000005,50.28541666666666,-24
C6005000,-3.4479166666666714,50.56458333333333,-13
C6006000,-3.464583333333337,50.53125,-14
C6007000,-3.5104166666666714,50.43958333333333,-11
C6008000,-4.431250000000002,50.34375,-13
C6009000,-4.360416666666669,50.33958333333334,-17
C6010000,-4.310416666666672,50.33958333333334,-21
C6011000,-4.239583333333336,50.32291666666667,-13
C6012000,-4.239583333333336,50.327083333333334,-10
C6013000,-4.206250000000004,50.31041666666667,-13
C6014000,-4.181250000000006,50.327083333333334,-12
C6015000,-4.1270833333333385,50.30625,-16
C6016000,-4.181250000000006,50.28958333333333,-42
C6017000,-4.339583333333337,50.34375,-17
C6018000,-4.381250000000005,50.32291666666667,-14
C6019000,-4.427083333333336,50.32291666666667,-19
C6020000,-4.59791666666667,50.31875,-17
C6021000,-4.639583333333338,50.32291666666667,-9
C6022000,-4.652083333333337,50.31875,-12
C6023000,-4.6895833333333385,50.327083333333334,-6
C6024000,-4.7187500000000036,50.32291666666667,-11
C6025000,-4.747916666666672,50.31458333333333,-12
C6026000,-4.010416666666671,50.297916666666666,-12
C6027000,-3.9562500000000043,50.30208333333333,-5
C6028000,-3.902083333333337,50.28541666666666,6
C6029000,-3.889583333333338,50.28125,14
C6030000,-3.8645833333333357,50.26041666666667,NA
C6031000,-3.8645833333333357,50.26041666666667,NA
C6032000,-3.7729166666666707,50.21041666666667,-15
C6033000,-3.731250000000003,50.202083333333334,-13
C6034000,-4.28541666666667,50.35208333333333,-3
C6035000,-4.764583333333338,50.26875,-15
C6036000,-4.822916666666671,50.22291666666666,-15
C6037000,-4.84791666666667,50.23125,-4
C6038000,-4.935416666666672,50.202083333333334,2
C6039000,-4.981250000000003,50.13541666666667,-26
C6040000,-5.039583333333336,50.13125,-15
C6041000,-5.077083333333338,50.10208333333333,-12
C6042000,-5.110416666666669,50.10208333333333,15
C6043000,-4.427083333333336,50.35625,-5
C6044000,-4.272916666666671,50.34791666666666,-2
C6045000,-4.181250000000006,50.31458333333333,-15
C6046000,-4.147916666666671,50.31458333333333,-15
C6047000,-4.239583333333336,50.32291666666667,-13
C6048000,-4.1270833333333385,50.30625,-16
C6049000,-4.077083333333338,50.31041666666667,-14
C6050000,-4.193750000000005,50.30625,-21
C6051000,-4.164583333333336,50.32291666666667,-12
C6052000,-4.435416666666672,50.34791666666666,-9
C6053000,-4.41041666666667,50.34375,-14
C6054000,4.785416666666659,52.98958333333333,-22
C6055000,4.760416666666661,52.98125,-20
C6056000,4.731249999999999,52.97291666666666,-34
C6057000,4.710416666666664,52.96875,-24
C6058000,4.431249999999995,52.86875,-23
C6059000,4.535416666666659,52.90625,-21
C6060000,4.668749999999999,52.922916666666666,-13
C6061000,4.864583333333332,53.014583333333334,-13
C6062000,4.914583333333329,53.03541666666666,-8
C6063000,4.706249999999994,53.06458333333333,-6
C6064000,4.697916666666661,53.06875,-8
C6065000,4.677083333333332,53.077083333333334,-13
C6066000,4.627083333333328,53.08541666666667,-17
C6067000,4.5937499999999964,53.08958333333334,-22
C6068000,4.5270833333333265,53.08958333333334,-24
C6069000,4.4020833333333265,53.10208333333333,-27
C6070000,5.077083333333331,53.03541666666666,-8
