station,particulate_organic_carbon_g_m3,particulate_organic_nitrogen_g_m3,suspended_particulate_matter_g_m3,total_particulate_carbon_g_m3,salinity,dissolved_organic_carbon_g_m3
C1001000,0.329,0.067,3.633,0.345,35,7.2664735
C1002000,0.179,0.031,3.601,0.295,35,7.9630941
C1003000,0.206,0.04,4.337,0.333,35,5.9452964999999995
C1004000,0.181,0.027,4.821,0.207,35,5.6690504
C1005000,0.199,0.031,4.129,0.23,34.9,7.2424521
C1006000,0.123,0.026,3.705,0.154,34,5.404814999999999
C1007000,0.241,0.047,2.169,0.328,33,7.470655399999999
C1008000,0.243,0.051,2.551,0.38,27,8.1312439
C1009000,0.342,0.054,2.432,0.384,25,6.245564
C1010000,0.075,0.017,0.725,0.139,24.9,4.9964512
C1011000,0.073,0.02,0.311,0.113,35.5,2.1979580999999997
C1012000,0.041,0.017,0.16,0.099,35.7,1.1494239899999998
C1013000,0.057,0.011,0.319,0.071,35.7,1.2491128
C1014000,0.05,0.006,0.197,NA,35.7,NA
C1015000,0.126,0.019,0.197,NA,35.7,1.3932412
C1016000,0.09,0.013,0.133,NA,35.7,0.9008024999999998
C1017000,0.071,0.014,0.325,0.079,35.7,2.2460009
C1018000,NA,NA,0.051,NA,35.7,2.5943112
C1019000,0.088,0.003,0.125,NA,35.9,NA
C1020000,NA,NA,0.105,NA,35.8,0.8527596999999999
C1021000,NA,NA,NA,NA,35.9,0.9008024999999998
C1022000,NA,NA,NA,NA,NA,2.1499152999999995
C1023000,NA,NA,0.026,NA,NA,NA
C1024000,NA,NA,0.03,NA,36.7,1.2010699999999999
C1025000,0.04,0.007,0.081,NA,36.6,NA
C1026000,NA,NA,0.063,NA,36.5,0.4924387
C1027000,0.043,0.006,0.061,NA,36.7,NA
C1028000,NA,NA,0.061,NA,36.8,NA
C1029000,NA,NA,0.053,NA,36.5,NA
C1030000,NA,NA,0.276,NA,NA,NA
C1031000,NA,NA,0.054,NA,NA,NA
C1032000,NA,NA,0.019,NA,36.7,NA
C1033000,NA,NA,0.108,NA,36.7,NA
C1034000,NA,NA,0.08,NA,36.7,NA
C1035000,NA,NA,0.047,NA,36.7,NA
C1036000,NA,NA,0.07,NA,36.7,NA
C1037000,NA,NA,0.078,NA,NA,NA
C1038000,NA,NA,0.091,NA,36.7,NA
C1039000,NA,NA,0.331,NA,36.68,NA
C1040000,NA,NA,0.037,NA,36.7,NA
C1041000,NA,NA,0.038,NA,36.75,NA
C1042000,NA,NA,0.044,NA,36.75,NA
C1043000,NA,NA,0.026,NA,36.8,NA
C1044000,NA,NA,0.104,NA,36.8,NA
C1045000,NA,NA,NA,NA,NA,NA
C1046000,NA,NA,0.117,NA,36.8,0.12010699999999999
C2001000,0.175,0.076,2.224,0.251,NA,NA
C2002000,0.021,0.007,0.448,0.069,NA,NA
C2003000,0.032,0.012,0.232,0.088,NA,NA
C2004000,0.05,0.021,1.962,0.085,NA,NA
C2005000,0.039,0.013,0.466,0.098,NA,NA
C2006000,0.03,0.009,0.375,0.066,NA,NA
C2007000,0.028,0.009,0.425,0.064,NA,NA
C2008000,0.036,0.011,0.765,0.083,NA,NA
C2009000,0.043,0.013,2.847,0.097,NA,NA
C2010000,0.035,0.013,0.425,0.141,NA,NA
C2011000,0.081,0.03,1.984,0.128,NA,NA
C2012000,0.091,0.033,2.305,0.226,NA,NA
C2013000,0.04,0.015,1.423,0.089,NA,NA
C2014000,0.033,0.009,0.828,0.068,NA,NA
C2015000,0.024,0.01,1.182,0.095,NA,NA
C3001000,0.22,0.069,1.268,0.271,NA,NA
C3002000,0.275,0.088,1.388,0.285,NA,NA
C3003000,0.205,0.077,1.552,0.312,NA,NA
C3004000,0.151,0.054,0.746,0.204,NA,NA
C3005000,0.15,0.073,0.764,0.236,NA,NA
C3006000,0.172,0.071,0.742,0.261,NA,NA
C3007000,0.1,0.039,0.214,0.102,NA,NA
C3008000,0.066,0.025,0.348,0.127,NA,NA
C3009000,0.165,0.073,6.946,0.281,NA,NA
C3010000,0.202,0.084,1.234,0.295,NA,NA
C3011000,0.21,0.092,2.084,0.369,NA,NA
C3012000,0.223,0.094,3.882,0.302,NA,NA
C3013000,0.256,0.131,2.636,0.374,NA,NA
C3014000,0.181,0.077,0.912,0.292,NA,NA
C3015000,0.172,0.069,0.59,0.233,NA,NA
C3016000,0.141,0.052,0.738,0.221,NA,NA
C3017000,0.196,0.077,1.43,0.279,NA,NA
C3018000,0.174,0.075,1.753,0.235,NA,NA
C3019000,0.149,0.067,0.542,0.219,NA,NA
C3020000,NA,0.001,0.6,0.002,NA,NA
C3021000,0.161,0.073,0.912,0.196,NA,NA
C3022000,0.158,0.07,1.331,0.226,NA,NA
C3023000,0.112,0.045,0.42,0.124,NA,NA
C3024000,0.166,0.066,1.2,0.221,NA,NA
C3025000,1.177,0.538,11.21,1.184,NA,NA
C3026000,0.44,0.188,6.928,0.517,NA,NA
C3027000,0.621,0.25,4.556,0.633,NA,NA
C3028000,0.266,0.086,1.024,0.268,NA,NA
C3029000,0.381,0.188,2.14,0.509,NA,NA
C3030000,0.257,0.1,0.935,0.296,NA,NA
C3031000,0.294,0.119,1.728,0.302,NA,NA
C3032000,0.32,0.163,4.255,0.368,NA,NA
C3033000,0.382,0.191,6.674,0.546,NA,NA
C3034000,0.38,0.192,5.033,0.498,NA,NA
C3035000,0.283,0.128,1.748,0.579,NA,NA
C3036000,0.307,0.081,3.606,0.294,NA,NA
C3037000,0.274,0.094,2.916,0.281,NA,NA
C3038000,0.292,0.11,2.429,0.292,NA,NA
C3039000,0.193,0.084,1.33,0.197,NA,NA
C3040000,NA,NA,NA,NA,NA,NA
C4001000,NA,0.018,0.433,0.057,NA,2.4742042
C4002000,NA,0.079,0.676,0.161,36,2.4021399999999997
C4003000,0.079,0.037,0.541,0.106,38,2.1018725
C4004000,0.073,0.03,0.647,0.137,37,3.0026750000000004
C4005000,0.042,0.013,0.2,0.082,37.5,3.4951136999999997
C4006000,0.019,0.007,0.256,NA,NA,NA
C4007000,0.116,0.054,0.962,0.173,NA,4.7562372
C4008000,0.129,0.061,1.382,0.216,36.3,NA
C4009000,0.178,0.085,2.537,0.521,34,1.6935086999999998
C4010000,0.167,0.065,1.982,0.536,37.5,1.7535622
C4011000,0.082,0.04,0.543,0.157,NA,1.8016049999999997
C4012000,0.057,0.025,0.296,0.071,38,1.8976905999999998
C4013000,0.048,0.014,0.293,0.059,38.1,NA
C4014000,0.308,0.099,2.672,0.696,33.5,1.5013375000000002
C4015000,0.351,0.126,3.148,0.945,35.5,1.5013375000000002
C4016000,0.227,0.097,2.862,0.562,36,2.4982256
C4017000,0.226,0.118,2.218,0.524,38,3.2548996999999997
C4018000,0.066,0.026,0.666,0.187,37.3,2.0538297
C4019000,0.019,0.008,0.154,NA,38,1.8976905999999998
C4020000,0.084,0.035,0.627,0.097,37.9,1.8976905999999998
C4021000,0.087,0.034,0.585,0.155,37,1.6935086999999998
C4022000,0.116,0.049,0.759,0.157,36,2.6543646999999995
C4023000,0.135,0.058,0.971,0.353,35.2,1.8976905999999998
C4024000,NA,0.051,6.175,0.022,35.2,2.4501828
C4025000,0.05,0.02,0.405,0.074,38,1.4052519
C4026000,0.073,0.038,0.811,0.108,38,1.6454658999999998
C4027000,0.043,0.021,0.369,0.074,38,1.5133482
C4028000,0.024,0.015,0.45,0.108,37.8,1.2971556
C4029000,0.083,0.037,0.612,0.116,38,1.1650379
C4030000,0.055,0.016,0.412,0.093,38,1.7055193999999998
C4031000,0.036,0.015,0.258,0.06,37.5,1.1169951
C4032000,0.08,0.04,0.612,0.08,37.6,1.1049844
C4033000,0.05,0.026,0.577,0.064,38,0.7446634000000001
C4034000,0.035,0.017,0.279,0.061,38.1,1.0449309
C4035000,NA,NA,0.075,NA,38.1,1.6935086999999998
C4036000,1.169,0.35,3.103,1.6,37.5,2.1739366999999996
C4037000,0.104,0.042,4.001,0.193,34.9,3.1708247999999992
C4038000,0.067,0.027,2.81,0.129,35,2.4261614000000002
C4039000,0.07,0.029,2.504,0.124,35,2.1499152999999995
C4040000,0.036,0.014,0.634,0.061,38,0.9968881
C4041000,0.027,0.009,0.239,0.06,NA,1.9457333999999997
C4042000,0.031,0.011,1.65,0.046,NA,1.8976905999999998
C4043000,NA,NA,NA,NA,NA,NA
C4044000,0.06,0.025,0.839,0.091,NA,NA
C4045000,0.295,0.107,17.93,0.295,NA,3.2548996999999997
C4046000,0.156,0.054,7.452,0.243,NA,NA
C4047000,0.099,0.037,3.728,0.144,NA,4.1557022
C4048000,0.182,0.059,11.76,0.335,NA,3.2548996999999997
C5005000,0.25,0.04,1.307,0.38,NA,NA
C5006000,NA,NA,0.433,NA,NA,NA
C5007000,0.24,0.08,1.669,0.61,NA,NA
C5008000,0.15,0.07,1.863,0.41,NA,NA
C5009000,0.41,0.07,2.217,0.43,NA,NA
C5010000,0.41,0.06,1.234,0.43,NA,NA
C5011000,0.44,0.06,1.714,0.44,NA,NA
