station,wavelength,eu_w_m2_um,ed_w_m2_um,k_eu_m1,k_ed_m1
C1001000,411,0.649,60.432999,0.239,0.28
C1001000,443,0.989,73.057999,0.169,0.215
C1001000,456,1.224,77.653,0.147,0.193
C1001000,490,1.51,72.754997,0.103,0.156
C1001000,509,1.443,72.681999,0.101,0.156
C1001000,532,1.333,62.543999,0.099,0.157
C1001000,556,1.188,57.009998,0.101,0.164
C1001000,590,0.584,58.723,0.164,0.248
C1001000,665,0.145,57.224998,0.43,0.56
C1001000,683,0.156,54.326,0.374,0.608
C1001000,705,0.057,47.382999,0.428,0.806
C1001000,779,NA,44.535,NA,1.613
C1001000,866,NA,34.866001,NA,1.202
C1002000,411,1.068,94.885002,0.246,0.291
C1002000,443,1.658,115.152,0.17,0.222
C1002000,456,2.075,122.546997,0.148,0.199
C1002000,490,2.599,115.825996,0.102,0.162
C1002000,509,2.5,116.459999,0.1,0.161
C1002000,532,2.328,102.154999,0.097,0.162
C1002000,556,2.06,93.751999,0.097,0.172
C1002000,590,0.995,98.179001,0.157,0.256
C1002000,665,0.233,92.835999,0.439,0.585
C1002000,683,0.248,88.234001,0.393,0.635
C1002000,705,0.088,76.875,0.428,0.835
C1002000,779,NA,71.613998,NA,2.325
C1002000,866,NA,55.563,NA,2.721
C1003000,411,2.305,153.876007,0.418,0.382
C1003000,443,3.543,187.235992,0.334,0.305
C1003000,456,4.368,199.597,0.304,0.279
C1003000,490,5.686,189.938995,0.246,0.232
C1003000,509,5.86,192.167999,0.239,0.228
C1003000,532,6.039,170.003998,0.231,0.224
C1003000,556,6.478,157.143997,0.23,0.228
C1003000,590,4.871,166.391006,0.305,0.345
C1003000,665,1.326,154.328995,0.592,0.677
C1003000,683,1.324,146.630997,0.566,0.722
C1003000,705,0.683,127.621002,0.692,0.919
C1003000,779,NA,117.954002,NA,2.322
C1003000,866,NA,91.891998,NA,2.763
C1004000,411,2.539,204.584,0.425,0.434
C1004000,443,3.714,249.014008,0.341,0.314
C1004000,456,4.606,265.427002,0.313,0.292
C1004000,490,5.824,253.072998,0.252,0.24
C1004000,509,6.15,255.804993,0.247,0.238
C1004000,532,6.533,227.255997,0.238,0.238
C1004000,556,7.174,210.182007,0.234,0.253
C1004000,590,5.282,224.268997,0.303,0.314
C1004000,665,1.369,206.419998,0.59,0.592
C1004000,683,1.38,196.496002,0.554,0.642
C1004000,705,0.771,170.822998,0.707,0.871
C1004000,779,NA,157.412003,NA,2.997
C1004000,866,NA,122.611,NA,4.859
C1005000,411,2.361,237.449997,0.301,0.354
C1005000,443,3.64,288.878998,0.218,0.276
C1005000,456,4.517,307.81601,0.19,0.247
C1005000,490,5.91,293.53299,0.136,0.197
C1005000,509,5.807,296.773987,0.128,0.201
C1005000,532,5.836,263.880005,0.123,0.187
C1005000,556,5.9,244.240997,0.125,0.191
C1005000,590,3.353,261.335999,0.186,0.309
C1005000,665,0.861,239.919998,0.452,0.594
C1005000,683,0.938,228.287994,0.389,0.642
C1005000,705,0.345,198.410995,0.479,0.852
C1005000,779,NA,182.841003,NA,2.144
C1005000,866,NA,142.408997,NA,2.386
C1006000,411,1.898,247.906006,0.387,0.519
C1006000,443,2.769,302.980011,0.284,0.382
C1006000,456,3.421,323.493011,0.25,0.327
C1006000,490,4.468,310.199005,0.172,0.252
C1006000,509,4.747,314.971985,0.15,0.233
C1006000,532,5.03,281.024994,0.135,0.217
C1006000,556,5.365,260.666992,0.126,0.209
C1006000,590,3.263,279.46701,0.191,0.278
C1006000,665,0.982,256.218994,0.497,0.627
C1006000,683,1.16,243.779007,0.403,0.686
C1006000,705,0.423,212.080002,0.523,0.893
C1006000,779,NA,195.445999,NA,2.671
C1006000,866,NA,152.093994,NA,3.443
C1007000,411,2.838,296.696991,0.832,NA
C1007000,443,5.957,363.356995,0.681,NA
C1007000,456,7.844,388.113007,0.62,NA
C1007000,490,11.185,372.971985,0.478,NA
C1007000,509,12.219,379.127014,0.443,NA
C1007000,532,13.547,338.032013,0.414,NA
C1007000,556,15.081,313.359985,0.395,NA
C1007000,590,12.407,337.268005,0.505,NA
C1007000,665,5.391,309.102997,0.907,NA
C1007000,683,4.396,293.627014,0.83,NA
C1007000,705,1.995,256.187012,0.97,NA
C1007000,779,NA,236.386993,NA,NA
C1007000,866,NA,183.740997,NA,NA
C1008000,411,4.284,272.153992,1.106,0.953
C1008000,443,6.799,333.343994,0.833,0.698
C1008000,456,8.282,355.914001,0.737,0.62
C1008000,490,10.537,342.272003,0.539,0.465
C1008000,509,11.173,348.799011,0.495,0.445
C1008000,532,12.098,309.553009,0.46,0.396
C1008000,556,13.538,286.596008,0.445,0.363
C1008000,590,11.34,309.699005,0.56,0.45
C1008000,665,6.084,283.613007,1.043,0.72
C1008000,683,5.969,270.130005,1.048,0.762
C1008000,705,2.955,236.136993,1.216,0.97
C1008000,779,NA,218.699005,NA,2.335
C1008000,866,NA,169.444,NA,2.533
C1009000,411,2.913,263.872986,0.973,NA
C1009000,443,6.064,324.79599,0.789,NA
C1009000,456,7.618,346.994995,0.696,NA
C1009000,490,9.847,334.587006,0.496,NA
C1009000,509,10.905,340.382996,0.458,NA
C1009000,532,12.212,301.595001,0.42,NA
C1009000,556,13.382,278.928009,0.387,NA
C1009000,590,11.012,301.684998,0.475,NA
C1009000,665,4.573,279.470001,0.834,NA
C1009000,683,4.101,266.898987,0.821,NA
C1009000,705,1.789,233.878006,0.935,NA
C1009000,779,NA,218.056,NA,NA
C1009000,866,NA,169.531998,NA,NA
C1010000,411,NA,837.619995,NA,NA
C1010000,443,NA,1049.209961,NA,NA
C1010000,456,NA,1129.300049,NA,NA
C1010000,490,NA,1097.170044,NA,NA
C1010000,509,NA,1128.709961,NA,NA
C1010000,532,NA,1015.330017,NA,NA
C1010000,665,NA,966.330017,NA,NA
C1010000,683,NA,929.76001,NA,NA
C1010000,705,NA,824.640015,NA,NA
C1010000,779,NA,773.380005,NA,NA
C1010000,866,NA,615.130005,NA,NA
C1011000,411,7.683,472.86499,0.169,0.167
