station,pheopigment_mg_m3,chlorophyll_a_mg_m3,chlorophyll_c_mg_m3,chlorophyll_b_mg_m3,peridinin_mg_m3,caroten_mg_m3,lutein_mg_m3,hexanoyloxyfucoxanthin_19_mg_m3,butanoyloxyfucoxanthin_19_mg_m3,fucoxanthin_mg_m3,alloxanthin_mg_m3,zeaxanthin_mg_m3,neoxanthin_mg_m3,violaxanthin_mg_m3,diatoxanthin_mg_m3,diadinoxanthin_mg_m3,prasixanthin_mg_m3
C1001000,0.159718,0.940914,0.12072,0.0615,0.02588,0.020477,0,0.030211,0.027399,0.405393,0.028387,0.007827,0,0,0.004395,0.044679,0
C1002000,0.154592,0.86515,0.091575,0.086089,0.033092,0.027102,0,0.038843,0.022142,0.327364,0.050665,0.011058,0,0,0,0.050698,0
C1003000,0.35963,2.793086,0.294791,0.331774,0.161214,0.080949,0,0.122479,0.095868,1.029382,0.142468,0.02045,0,0,0.0251,0.189659,0
C1004000,0.510963,3.217467,0.345457,0.106799,0.23778,0.078952,0,0.069942,0.083071999999999993,1.409183,0.133822,0.025258,0,0,0.03258,0.234474,0
C1005000,0.36576,2.145102,0.259186,0.122697,0.222655,0.061521,0,0.040842,0.030953,0.713465,0.099856,0.019373,0,0,0.015022,0.161831,0
C1006000,0.271236,2.838718,0.315651,0.091019,0.10418,0.060915,0,0.028843,0.032534,0.95947,0.097257,0.004816,0,0,0.011383,0.15405,0
C1007000,0.328831,2.043706,0.217073,0.086212,0.075948,0.044124,0,0.017098,0.027738,0.780456,0.068136,0.022532,0,0,0.020204,0.13442,0
C1008000,0.253898,2.028432,0.218565,0.038273,0.075467,0.044663,0,0.009173,0.026532,0.809825,0.062044,0.021221,0,0,0.0233,0.132229,0
C1009000,0.25421,2.326653,0.289719,0.099695,0.216371,0.050557,0,0.019298,0.032459,0.88264,0.080115,0.027196,0,0,0.027483,0.169173,0
C1010000,0.138319,0.71841,0.061615,0.024525,0.009363,0.015408,0,0.008877,0.005502,0.243146,0.029962,0.004875,0,0,0.005125,0.023716,0
C1011000,0.08267,0.807382,0.116416,0.067264,0.012498,0.020915,0,0.169159,0.076773,0.274128,0.024442,0.005441,0,0,0.009668,0.072194,0
C1012000,0.0705,0.53317,0.068701,0.040154,0.00852,0.017391,0,0.159693,0.029151,0.109105,0.03804,0.00688,0,0,0.015842,0.075336,0
C1013000,0.082744,0.261738,0.0432,0.00936,0.013735,0.005905,0,0.084724,0.011694,0.069328,0.007985,0.003103,0,0,0.004592,0.0167,0
C1014000,0.036013,0.296122,0.044333,0.012123,0.007879,0.007958,0,0.088364,0.015066,0.104742,0.008858,0.004282,0,0,0.008456,0.03395,0
C1015000,0.304387,0.969596,0.204403,0.025599,0.038139,0.021413,0,0.3901,0.054894,0.306985,0.032993,0.017159,0,0,0.031903,0.126916,0
C1016000,0.094161,0.719028,0.102485,0.02601,0.019163,0.015541,0,0.260349,0.040566,0.209413,0.020976,0.006535,0,0,0.00715,0.036924,0
C1017000,0.114932,0.658966,0.09753,0.019919,0.023577,0.016185,0,0.22425,0.047157,0.286499,0.021459,0.004978,0,0,0.011028,0.061109,0
C1018000,0.095838,0.810643,0.080702,0.045591,0.028063,0.024419,0,0.167265,0.049955,0.257082,0.053571,0.01847,0,0,0.010668,0.051786,0
C1019000,0.038851,0.547076,0.083224,0.021272,0.010859,0.028375,0,0.208326,0.057212,0.053996,0.006783,0.148933,0,0,0.005874,0.024055,0
C1020000,0.048444,0.403341,0.050261,0.029872,0.005422,0.027864,0,0.124162,0.029147,0.039311,0.005145,0.145691,0,0,0.0062,0.013929,0
C1021000,0.006895,0.19265,0.018152,0.009676,0.008188,0.00611,0,0.050844,0.007543,0.019835,0.001604,0.021939,0,0,0.004448,0.01187,0
C1022000,0.003987,0.111948,0.01034,0.002525,0,0.0055,0,0.024048,0.007488,0.015536,0.001317,0.023118,0,0,0.003091,0.007164,0
C1023000,0.040658,0.58797,0.074088,0.027328,0.006059,0.016711,0,0.090344,0.027245,0.186425,0.003527,0.031108,0,0,0.006236,0.039328,0
C1024000,0.00783,0.073167,0.005859,0,0.003629,0.006603,0,0.0068780000000000004,0.002176,0.003699,0,0.029327,0,0,0,0.002344,0
C1025000,0.005091,0.050405,0.004189,0,0.001624,0.003235,0,0.007878,0.003557,0.002803,0,0.022657,0,0,0,0.001747,0
C1026000,0.005308,0.051854,0.005038,0.001559,0.001822,0.003766,0,0.008313,0.003962,0.002153,0,0.02904,0,0,7.07e-4,0.002024,0
C1027000,0.005387,0.080445,0.003297,0.002182,0.002575,0.005827,0,0.009041,0.003805,0.007973,8.04e-4,0.042924,0,0,8.73e-4,0.002396,0
C1028000,0.003177,0.100651,0.007235,0.001651,0.002621,0.006725,0,0.015877,0.00367,0.015715,0,0.048652,0,0,0.001689,0.004492,0
C1029000,0.007486,0.04951,0.004308,0.001573,0.001668,0.004158,0,0.009244,0.004027,0.005224,0,0.023286,0,0,0,0.002028,0
C1030000,0.022445,0.16048,0.011894,0.005418,0.004951,0.008186,0,0.016252,0.005458,0.033563,0,0.027182,0,0,0.001436,0.008407,0
C1031000,0.011881,0.152155,0.012221,0.003994,0.004224,0.007636,0,0.024413,0.007914,0.029792,0,0.020682,0,0,0.003506,0.013712,0
C1032000,0.009734,0.122458,0.009188,0.006348,0.004405,0.008054,0,0.018668,0.006224,0.02071,0,0.038001,0,0,0.002432,0.011223,0
C1033000,0.009033,0.087681,0.005191,0.00248,0.002816,0.004465,0,0.01039,0.002458,0.015578,0,0.022267,0,0,0.001869,0.005236,0
C1034000,0.008038,0.133041,0.011034,0.002674,0.00172,0.009395,0,0.01516,0.00458,0.02465,6.37e-4,0.047696,0,0,0.002866,0.008395,0
C1035000,0.007772,0.090959,0.004518,0.008335,0.005968,0.007833,0,0.00964,0.005666,0.01043,0,0.04496,0,0,0.002867,0.004067,0
C1036000,0.012662,0.080973,0.006991,0.001154,0.001533,0.006215,0,0.011203,0.004726,0.010342,0,0.032992,0,0,0.001281,0.003337,0
C1037000,0.020571,0.141887,0.011291,0.001549,0.005373,0.011887,0,0.019156,0.006244,0.01979,0,0.060074,0,0,0.002017,0.009524,0
C1038000,0.009641,0.094458,0.00663,0.00387,0.001699,0.007994,0,0.011,0.004246,0.0126,0,0.04767,0,0,0.002066,0.00646,0
C1039000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1040000,0.011976,0.114405,0.013665,0.003435,0.008102,0.005695,0,0.030011,0.010304,0.015563,0,0.022796,0,0,0.00212,0.007337,0
C1041000,0.007846,0.120915,0.012556,0.010378,0.004604,0.007662,0,0.029686,0.008918,0.01398,0,0.033918,0,0,0.002407,0.006785,0
C1042000,0.010596,0.119913,0.009234,0.007977,0.001919,0.008817,0,0.02515,0.007739,0.009817,0,0.034012,0,0,0.001278,0.005595,0
C1043000,0.005649,0.090138,0.005681,0.006043,0.00163,0.007068,0,0.016452,0.006186,0.006766,0,0.033651,0,0,0.001647,0.003458,0
C1044000,0.006433,0.096279,0.008961,0.004115,0.003838,0.007229,0,0.023329,0.008295,0.008483,0,0.036319,0,0,0.001921,0.005172,0
C1045000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1046000,0.008321,0.135869,0.008968,0.002315,0.002978,0.00791,0,0.028376,0.010891,0.021513,3.34e-4,0.033555,0,0,0.002586,0.010803,0
