station,wavelength,measured_reflectance_percent
C1001000,411,0.010887
C1001000,443,0.01366
C1001000,456,0.015892
C1001000,490,0.020873
C1001000,509,0.01998
C1001000,532,0.021465
C1001000,556,0.02101
C1001000,559,NA
C1001000,590,0.010102
C1001000,619,NA
C1001000,665,0.0026590000000000003
C1001000,683,0.003029
C1001000,705,0.0013039999999999998
C1001000,779,NA
C1001000,866,NA
C1002000,411,0.011422000000000002
C1002000,443,0.014534
C1002000,456,0.017070000000000002
C1002000,490,0.022576
C1002000,509,0.021618
C1002000,532,0.022966
C1002000,556,0.022172
C1002000,559,NA
C1002000,590,0.010304
C1002000,619,NA
C1002000,665,0.002635
C1002000,683,0.002979
C1002000,705,0.001243
C1002000,779,NA
C1002000,866,NA
C1003000,411,0.015201
C1003000,443,0.019074
C1003000,456,0.022026
C1003000,490,0.030052
C1003000,509,0.030631
C1003000,532,0.035705
C1003000,556,0.041482
C1003000,559,NA
C1003000,590,0.029703
C1003000,619,NA
C1003000,665,0.009016
C1003000,683,0.009533
C1003000,705,0.005798
C1003000,779,NA
C1003000,866,NA
C1004000,411,0.012535000000000001
C1004000,443,0.014996
C1004000,456,0.01743
C1004000,490,0.023072
C1004000,509,0.02413
C1004000,532,0.028879000000000002
C1004000,556,0.034337
C1004000,559,NA
C1004000,590,0.023894000000000002
C1004000,619,NA
C1004000,665,0.0069630000000000004
C1004000,683,0.007419
C1004000,705,0.004897
C1004000,779,NA
C1004000,866,NA
C1005000,411,0.010276
C1005000,443,0.012917000000000001
C1005000,456,0.014993000000000001
C1005000,490,0.020444
C1005000,509,0.019838
C1005000,532,0.022393
C1005000,556,0.02445
C1005000,559,NA
C1005000,590,0.013081
C1005000,619,NA
C1005000,665,0.0037890000000000003
C1005000,683,0.004366
C1005000,705,0.0018909999999999999
C1005000,779,NA
C1005000,866,NA
C1006000,411,0.007963
C1006000,443,0.009408
C1006000,456,0.01084
C1006000,490,0.014659
C1006000,509,0.015309
C1006000,532,0.01815
C1006000,556,0.020861
C1006000,559,NA
C1006000,590,0.011918
C1006000,619,NA
C1006000,665,0.0040550000000000004
C1006000,683,0.005063
C1006000,705,0.002173
C1006000,779,NA
C1006000,866,NA
C1007000,411,0.010243
C1007000,443,0.017133
C1007000,456,0.020960999999999997
C1007000,490,0.030688
C1007000,509,0.032845
C1007000,532,0.040705
C1007000,556,0.048801
C1007000,559,NA
C1007000,590,0.037534
C1007000,619,NA
C1007000,665,0.018420000000000002
C1007000,683,0.015899
C1007000,705,0.008466
C1007000,779,NA
C1007000,866,NA
C1008000,411,0.01729
C1008000,443,0.021436
C1008000,456,0.024502000000000003
C1008000,490,0.03183
C1008000,509,0.032924
C1008000,532,0.039972
C1008000,556,0.048093000000000004
C1008000,559,NA
C1008000,590,0.037558
C1008000,619,NA
C1008000,665,0.022806000000000003
C1008000,683,0.023584
C1008000,705,0.013704000000000001
C1008000,779,NA
C1008000,866,NA
C1009000,411,0.011725000000000001
C1009000,443,0.019314
C1009000,456,0.022557
C1009000,490,0.029893
C1009000,509,0.032466
C1009000,532,0.040959
C1009000,556,0.048507999999999996
C1009000,559,NA
C1009000,590,0.03716
C1009000,619,NA
C1009000,665,0.017213
C1009000,683,0.016257999999999998
C1009000,705,0.008308
C1009000,779,NA
C1009000,866,NA
C1010000,411,NA
C1010000,443,NA
C1010000,456,NA
C1010000,490,NA
C1010000,509,NA
C1010000,532,NA
C1010000,556,NA
C1010000,559,NA
C1010000,590,NA
C1010000,619,NA
C1010000,665,NA
C1010000,683,NA
C1010000,705,NA
C1010000,779,NA
C1010000,866,NA
C1011000,411,0.016512
C1011000,443,0.017808
C1011000,456,0.019076
C1011000,490,0.022768
C1011000,509,0.020867
C1011000,532,0.021877
C1011000,556,0.020177999999999998
C1011000,559,NA
C1011000,590,0.007320999999999999
C1011000,619,NA
C1011000,665,NA
C1011000,683,NA
C1011000,705,NA
C1011000,779,NA
C1011000,866,NA
C1012000,411,0.01467
C1012000,443,0.014764
C1012000,456,0.016168000000000002
C1012000,490,0.017301999999999998
C1012000,509,0.012589999999999999
C1012000,532,0.011013
C1012000,556,0.008226
C1012000,559,NA
C1012000,590,0.002912
C1012000,619,NA
C1012000,665,NA
C1012000,683,NA
C1012000,705,NA
C1012000,779,NA
C1012000,866,NA
C1013000,411,NA
C1013000,443,NA
C1013000,456,NA
C1013000,490,NA
C1013000,509,NA
C1013000,532,NA
C1013000,556,NA
C1013000,559,NA
C1013000,590,NA
C1013000,619,NA
C1013000,665,NA
C1013000,683,NA
C1013000,705,NA
C1013000,779,NA
C1013000,866,NA
C1014000,411,0.014913000000000001
C1014000,443,0.015752
C1014000,456,0.016864
C1014000,490,0.018238
C1014000,509,0.013345000000000001
C1014000,532,0.011489000000000001
C1014000,556,0.008898
C1014000,559,NA
C1014000,590,0.0032779999999999997
C1014000,619,NA
C1014000,665,NA
C1014000,683,NA
C1014000,705,NA
C1014000,779,NA
C1014000,866,NA
C1015000,411,0.014286
C1015000,443,0.013316
C1015000,456,0.014213
C1015000,490,0.016336
C1015000,509,0.014724
C1015000,532,0.014792000000000001
C1015000,556,0.013014
C1015000,559,NA
C1015000,590,0.004866
C1015000,619,NA
C1015000,665,0.0014010000000000001
C1015000,683,0.002089
C1015000,705,6.3e-4
C1015000,779,NA
C1015000,866,NA
C1016000,411,0.010536
C1016000,443,0.010623
C1016000,456,0.011507
C1016000,490,0.013314
C1016000,509,0.010581
C1016000,532,0.009759
C1016000,556,0.007693
C1016000,559,NA
C1016000,590,0.002726
C1016000,619,NA
C1016000,665,NA
C1016000,683,NA
C1016000,705,NA
C1016000,779,NA
C1016000,866,NA
C1017000,411,0.011602
C1017000,443,0.012393000000000001
C1017000,456,0.013448
C1017000,490,0.015016
C1017000,509,0.01125
C1017000,532,0.010085
C1017000,556,0.008258999999999999
C1017000,559,NA
C1017000,590,0.002631
C1017000,619,NA
C1017000,665,5.75e-4
C1017000,683,7.96e-4
C1017000,705,2.63e-4
C1017000,779,NA
C1017000,866,NA
C1018000,411,NA
C1018000,443,NA
C1018000,456,NA
C1018000,490,NA
C1018000,509,NA
C1018000,532,NA
C1018000,556,NA
C1018000,559,NA
C1018000,590,NA
C1018000,619,NA
C1018000,665,NA
C1018000,683,NA
C1018000,705,NA
C1018000,779,NA
C1018000,866,NA
C1019000,411,NA
C1019000,443,NA
C1019000,456,NA
C1019000,490,NA
C1019000,509,NA
C1019000,532,NA
C1019000,556,NA
C1019000,559,NA
C1019000,590,NA
C1019000,619,NA
C1019000,665,NA
C1019000,683,NA
C1019000,705,NA
C1019000,779,NA
C1019000,866,NA
C1020000,411,NA
C1020000,443,NA
C1020000,456,NA
C1020000,490,NA
C1020000,509,NA
C1020000,532,NA
C1020000,556,NA
C1020000,559,NA
C1020000,590,NA
C1020000,619,NA
C1020000,665,NA
C1020000,683,NA
C1020000,705,NA
C1020000,779,NA
C1020000,866,NA
C1021000,411,0.022483
C1021000,443,0.022934999999999997
C1021000,456,0.024221
C1021000,490,0.023468
C1021000,509,0.01489
C1021000,532,0.012065999999999999
C1021000,556,0.009142
C1021000,559,NA
C1021000,590,0.002947
C1021000,619,NA
C1021000,665,7.9e-4
C1021000,683,7.93e-4
C1021000,705,3.64e-4
C1021000,779,NA
C1021000,866,NA
C1022000,411,0.033005
C1022000,443,0.029911
C1022000,456,0.02924
C1022000,490,0.024503
C1022000,509,0.013542
C1022000,532,0.009835
C1022000,556,0.006739
C1022000,559,NA
C1022000,590,0.001998
C1022000,619,NA
C1022000,665,4.02e-4
C1022000,683,3.73e-4
C1022000,705,2.0899999999999998e-4
C1022000,779,NA
C1022000,866,NA
C1023000,411,0.01727
C1023000,443,0.013998
C1023000,456,0.014424999999999999
C1023000,490,0.014266000000000001
C1023000,509,0.011083
C1023000,532,0.009938
C1023000,556,0.007891
C1023000,559,NA
C1023000,590,0.0027150000000000004
C1023000,619,NA
C1023000,665,5.77e-4
C1023000,683,8.740000000000001e-4
C1023000,705,2.57e-4
C1023000,779,NA
C1023000,866,NA
C1024000,411,0.040266
C1024000,443,0.035694
C1024000,456,0.035612
C1024000,490,0.030722
C1024000,509,0.017475
C1024000,532,0.013564
C1024000,556,0.010527
C1024000,559,NA
C1024000,590,0.003913
C1024000,619,NA
C1024000,665,8.309999999999999e-4
C1024000,683,7.639999999999999e-4
C1024000,705,3.8399999999999996e-4
C1024000,779,NA
C1024000,866,NA
C1025000,411,0.044231999999999994
C1025000,443,0.03871
C1025000,456,0.037323
C1025000,490,0.029466000000000003
C1025000,509,0.015538000000000001
C1025000,532,0.011456
C1025000,556,0.008431
C1025000,559,NA
C1025000,590,0.0026850000000000003
C1025000,619,NA
C1025000,665,5.27e-4
C1025000,683,4.22e-4
C1025000,705,2.25e-4
C1025000,779,NA
C1025000,866,NA
C1026000,411,0.036009
C1026000,443,0.030485
C1026000,456,0.029588999999999997
C1026000,490,0.024158
C1026000,509,0.013744000000000001
C1026000,532,0.010156
C1026000,556,0.007141999999999999
C1026000,559,NA
C1026000,590,0.002251
C1026000,619,NA
C1026000,665,6.87e-4
C1026000,683,5.99e-4
C1026000,705,2.87e-4
C1026000,779,NA
C1026000,866,NA
C1027000,411,NA
C1027000,443,NA
C1027000,456,NA
C1027000,490,NA
C1027000,509,NA
C1027000,532,NA
C1027000,556,NA
C1027000,559,NA
C1027000,590,NA
C1027000,619,NA
C1027000,665,NA
C1027000,683,NA
C1027000,705,NA
C1027000,779,NA
C1027000,866,NA
