station,s_cdom_nm1,s_nap_nm1
C1001000,0.01504439470709575,NA
C1003000,0.016221761279085967,NA
C1004000,0.02059512987694874,NA
C1005000,0.015827859553650053,0.011402794603461644
C1006000,0.016880111936978952,0.012318196705799887
C1007000,0.01881561541083317,0.012196099590962328
C1007017,NA,0.011520975188618329
C1008000,0.017119290452687414,0.012022556108475193
C1008018,NA,0.011786686177681428
C1009000,0.018266765855372208,NA
C1009017,NA,0.01198033842687182
C1010000,0.016342095766253485,0.01183127363428758
C1011000,0.016353372692616504,0.012046221841333771
C1011020,NA,0.010323622458563785
C1011060,NA,0.011392804876154473
C1012000,0.012614791761874779,0.011386768144753022
C1012080,NA,0.011976032314039932
C1013000,0.019003064046191318,0.007317205198769861
C1013150,NA,0.013461488021414423
C1014000,0.017274883811492232,0.012845583265880013
C1015000,0.01689248526723784,0.010001896910950672
C1015080,NA,0.013004402470966703
C1015360,NA,0.015058551108272972
C1016000,0.022963398976091134,NA
C1016250,NA,0.012759944356416935
C1017000,0.019481966868940388,0.011548484302597792
C1017030,NA,0.011421294820941641
C1017100,NA,0.012658698410154405
C1018000,0.022292995322173798,NA
C1018050,NA,0.03946228574575632
C1018100,NA,0.00913952980589476
C1019000,0.01695609860713548,0.010634220437438098
C1019030,NA,0.011544369959246186
C1019050,NA,0.013351149174542404
C1019100,NA,0.013118744670317246
C1020000,0.008828013288346384,0.010745924148952167
C1020050,NA,0.011659575116143918
C1021000,0.013453406827035951,0.01230519395288428
C1021040,NA,0.014369084298551084
C1021050,NA,0.010335277569475661
C1022000,0.02070998580874972,0.011383348626224692
C1022080,NA,0.013063656798692331
C1023000,0.019387439717370794,NA
C1023033,NA,0.012857074645950753
C1024000,0.06238736135207022,0.013175206604751024
C1024100,NA,0.009935667989037925
C1025000,0.014648822642177373,0.012873859785737761
C1025075,NA,0.010804260614254161
C1026000,0.016375678845066622,0.011994763511371348
C1027000,0.01511133629466436,0.012854655048564086
C1027050,NA,0.010673296064691876
C1028000,0.04131790933187244,0.013592457028124946
C1029000,0.0395632699198644,0.013458179184086308
C1030000,0.0662390956064487,0.012138410793528474
C1030100,NA,0.010008562741189105
C1031000,0.03602242135283849,0.011375963903472005
C1032000,0.013225609826425268,0.0140011631655639
C1032100,NA,0.010091834247739198
C1033000,0.020292658607153912,0.01117745901870375
C1033102,NA,0.010261365637051236
C1034000,0.04499303249254303,0.011167311186722297
C1035000,0.01414308927774453,0.012174947964650476
C1036000,0.01302765709157727,0.010546693606385963
C1036083,NA,0.009451273240558037
C1037000,0.02937828242777392,0.013754078000566706
C1037082,NA,0.009219649461267522
C1038000,0.01756823815870944,0.015572090295249735
C1038082,NA,0.011342983057085317
C1039000,0.014329516993841272,0.010528685368486387
C1039080,NA,0.009470393135810306
C1040000,0.01835362605405707,0.010901958684413035
C1040090,NA,0.00912295719266075
C1041000,0.0208738299558011,0.014107976292822469
C1041100,NA,0.010046684403413667
C1042070,NA,0.01090240701577984
C1043000,0.02450715268131839,0.010927064823884084
C1043083,NA,0.010750021179245863
C1044000,0.010826177556495665,0.011628135977282714
C1044070,NA,0.009620055803891681
C1045000,0.02261657548924308,NA
C1046000,0.019081775213848354,0.014599289392982003
C1046050,NA,0.010756821359217081
C2001000,NA,0.01270028627714498
C2002000,0.01635188378169874,0.013736370627764418
C2003000,0.01113244075741,0.013951344181328372
C2004000,0.019795421985021294,NA
C2005000,0.019339168865784698,0.011286519263672717
C2006000,0.017577383289440224,0.015336797990139475
C2007000,0.03175813326499742,0.014988051881750728
C2008000,0.015759524547388593,0.012817516714091752
C2009000,0.03867176882717924,0.015542779210826403
C2010000,0.023032588580311566,0.011578389617756814
C2011000,0.018248978953037225,0.012726315570030153
C2012000,0.01926416358965115,0.012346069868166111
C2013000,0.01930520246687161,0.012589574853143581
C2014000,0.019357686056393434,0.012341562786849716
C2015000,0.014262166925245198,0.012490162840708956
C3001000,0.0184229265493512,0.01164471770714329
