date,station,depth_m,latitude,longitude,area,system,gmt_time,solar_zenith_angle
1997-04-02,C1001000,0,52.3667,3.7,North Sea,Rhine,6.32,81.416748
1997-04-02,C1002000,0,52.35,3.7667,North Sea,Rhine,7.47,71.0236664
1997-04-02,C1003000,0,52.3167,3.8333,North Sea,Rhine,8.33,63.7195129
1997-04-02,C1004000,0,52.2833,3.9,North Sea,Rhine,9.17,57.3543816
1997-04-02,C1005000,0,52.2667,3.9833,North Sea,Rhine,10.47,50.0344582
1997-04-02,C1006000,0,52.25,4.05,North Sea,Rhine,11.5,47.377018
1997-04-02,C1007000,0,52.2167,4.1167,North Sea,Rhine,12.67,48.4565697
1997-04-02,C1008000,0,52.1833,4.1833,North Sea,Rhine,13.65,52.5305901
1997-04-03,C1009000,0,50.4167,-0.65,English Channel,NA,14.6,54.8436089
1997-04-04,C1010000,0,49,-5.9167,English Channel,NA,11.4,45.2238693
1997-04-04,C1011000,0,48.7333,-6.2,English Channel,NA,8.53,65.5867767
1997-04-05,C1012000,0,47.55,-7.2,Atlantic Ocean,NA,11.23,44.6132126
1997-04-05,C1013000,0,47.5667,-7.25,Atlantic Ocean,NA,6.88,81.9249039
1997-04-05,C1014000,0,47.6167,-7.4167,Atlantic Ocean,NA,10.35,50.0512619
1997-04-06,C1015000,0,46.9667,-5.45,Atlantic Ocean,NA,14.67,49.8010063
1997-04-06,C1016000,0,46.95,-5.45,Atlantic Ocean,NA,6,89.350853
1997-04-07,C1017000,0,44.1,-9.7667,Atlantic Ocean,NA,10.47,47.1737938
1997-04-08,C1018000,0,42.8667,-11.8167,Atlantic Ocean,NA,13.1,35.7753868
1997-04-08,C1019000,0,42.8,-11.7833,Atlantic Ocean,NA,0,36.6437683
1997-04-10,C1020000,0,41.6667,-9.9833,Atlantic Ocean,NA,13.83,36.8988113
1997-04-11,C1021000,0,37.75,-11.2167,Atlantic Ocean,NA,13.32,30.3054924
1997-04-12,C1022000,0,36.7167,-11.2,Atlantic Ocean,NA,12.55,28.1043892
1997-04-13,C1023000,0,35,-11.8167,Atlantic Ocean,NA,10.97,35.9994125
1997-04-14,C1024000,0,35.0167,-12.9667,Atlantic Ocean,NA,10.57,40.4978981
1997-04-14,C1025000,0,35,-12.8667,Atlantic Ocean,NA,9.8,48.9681816
1997-04-15,C1026000,0,33.7333,-14.3,Atlantic Ocean,NA,11.88,28.0945168
1997-04-15,C1027000,0,33.7833,-14.3333,Atlantic Ocean,NA,11.5,31.2158546
1997-04-16,C1028000,0,32.7167,-13.1833,Atlantic Ocean,NA,16.17,50.6426582
1997-04-17,C1029000,0,31.2,-13.5833,Atlantic Ocean,NA,7.42,77.9003677
1997-04-17,C1030000,0,31.15,-13.65,Atlantic Ocean,NA,7.23,80.3879318
1997-04-17,C1031000,0,31.0833,-13.5833,Atlantic Ocean,NA,10.72,36.5467453
1997-04-17,C1032000,0,31.2,-13.7167,Atlantic Ocean,NA,13.47,22.0940781
1997-04-18,C1033000,0,30.65,-13.0667,Atlantic Ocean,NA,17.68,69.3368988
1997-04-18,C1034000,0,30.4667,-13.4,Atlantic Ocean,NA,10.12,43.0615311
1997-04-19,C1035000,0,30.15,-12.7167,Atlantic Ocean,NA,15.4,40.4147758
1997-04-19,C1036000,0,30.1833,-12.8,Atlantic Ocean,NA,7.53,75.4613876
