b1,b2,bout,w1,w2,wout
0.8297391,0.2204222,0.3676623,-0.0712985,-0.0589429,-0.1944715
0.7428256,-0.1412514,NaN,-0.234553,0.1063243,0.6422153
0.43889,0.1173282,NaN,0.6485202,1.2307838,-0.5536112
-0.624702,-1.8707092,NaN,-0.7811317,0.0367716,-1.0850506
-0.5642293,0.6500506,NaN,-0.6636961,-0.462781,-0.9477488
0.2237282,0.1563983,NaN,0.1295126,-0.0994134,-0.8737354
-0.8195112,NaN,NaN,-0.2550822,-0.1903292,NaN
-0.4933037,NaN,NaN,0.5326411,0.2289997,NaN
NaN,NaN,NaN,0.4051482,0.0166138,NaN
NaN,NaN,NaN,0.4351735,-0.1429529,NaN
NaN,NaN,NaN,-0.1015405,-0.1603998,NaN
NaN,NaN,NaN,-0.0814319,-0.2036634,NaN
NaN,NaN,NaN,-0.5925362,0.0881578,NaN
NaN,NaN,NaN,-0.0093542,-0.2301838,NaN
NaN,NaN,NaN,-0.6128317,0.1512222,NaN
NaN,NaN,NaN,-0.2871445,0.5905896,NaN
NaN,NaN,NaN,0.6248246,1.0308696,NaN
NaN,NaN,NaN,-0.2369863,0.814083,NaN
NaN,NaN,NaN,1.0464786,0.0513543,NaN
NaN,NaN,NaN,-0.3098671,0.1450769,NaN
NaN,NaN,NaN,0.8152252,-0.4368229,NaN
NaN,NaN,NaN,0.042191,0.4034423,NaN
NaN,NaN,NaN,-0.0108588,0.1751658,NaN
NaN,NaN,NaN,-0.9391015,0.5229184,NaN
NaN,NaN,NaN,-0.8735937,0.1435982,NaN
NaN,NaN,NaN,0.107788,-0.4924737,NaN
NaN,NaN,NaN,-2.1712835,0.9749249,NaN
NaN,NaN,NaN,-0.0652514,-0.4041021,NaN
NaN,NaN,NaN,0.0671764,-0.1983046,NaN
NaN,NaN,NaN,0.540557,0.0705371,NaN
NaN,NaN,NaN,0.3285,-0.0235283,NaN
NaN,NaN,NaN,-0.6654543,0.5672495,NaN
NaN,NaN,NaN,-2.4665039,-0.2625364,NaN
NaN,NaN,NaN,0.2810354,-0.4443947,NaN
NaN,NaN,NaN,0.7216653,-0.0003338,NaN
NaN,NaN,NaN,-0.4435075,-0.0017497,NaN
NaN,NaN,NaN,-0.1515834,-0.2009727,NaN
NaN,NaN,NaN,0.3370853,0.1011959,NaN
NaN,NaN,NaN,0.5998384,0.2834124,NaN
NaN,NaN,NaN,-0.1754736,-0.1416035,NaN
NaN,NaN,NaN,-0.0427375,-0.7426369,NaN
NaN,NaN,NaN,0.1820058,-0.565097,NaN
NaN,NaN,NaN,-0.0032309,-0.2055162,NaN
NaN,NaN,NaN,0.0079733,-0.0635597,NaN
NaN,NaN,NaN,0.0092144,-0.0511549,NaN
NaN,NaN,NaN,-0.1732433,0.6490154,NaN
NaN,NaN,NaN,0.0330897,-0.5597115,NaN
NaN,NaN,NaN,-0.0646982,-0.9469026,NaN
