%combined refraction index at T=27, S=0 from Daiman&Masumura 2007 (180-338nm, adjusted to 27°C), Quan & Fry 1995(340-800nm), Segelstein 1981 (800-1660nm), Max & Chapados 2009 (1660-4000nm)
%segelstein is fitted from 800 to 1660nm between quan&fry(800) and max&chapados(1660): refri=0.57002 * refri(segelstein) + 0.57225
% 
% R. Röttgers, HZG(2016)
%wl refri
180 1.474463708
182 1.467326692
184 1.460482996
186 1.454355107
188 1.448788347
190 1.443701935
192 1.439050993
194 1.434749136
196 1.430774446
198 1.427076818
200 1.423641781
202 1.420447119
204 1.417396021
206 1.414548413
208 1.411834545
210 1.40931078
212 1.406867056
214 1.404629552
216 1.402435437
218 1.400385999
220 1.398409877
222 1.396560453
224 1.394696467
226 1.393015124
228 1.39138737
230 1.38976369
232 1.388255189
234 1.386876773
236 1.385477388
238 1.384130967
240 1.382771819
242 1.381560947
244 1.38037446
246 1.379186313
248 1.378085445
250 1.377028518
252 1.375965271
254 1.374932112
256 1.374040963
258 1.373112107
260 1.37217692
262 1.371259238
264 1.370458283
266 1.36965334
268 1.368833577
270 1.36804804
272 1.367314472
274 1.366533846
276 1.365814044
278 1.365136965
280 1.364480914
282 1.363812241
284 1.363126391
286 1.362511161
288 1.361924351
290 1.361348808
292 1.360771191
294 1.360194649
296 1.359631083
298 1.359075626
300 1.358610559
302 1.35816832
304 1.357682854
306 1.357194994
308 1.356707913
310 1.356221116
312 1.355737703
314 1.355278571
316 1.354934808
318 1.35455552
320 1.35416179
322 1.353766698
324 1.35337233
326 1.352978869
328 1.35258539
330 1.352194276
332 1.351804
334 1.35142945
336 1.351139797
338 1.350881749
340 1.350543
342 1.350206
344 1.349875
346 1.349552
348 1.349235
350 1.348925
352 1.348621
354 1.348324
356 1.348032
358 1.347747
360 1.347467
362 1.347193
364 1.346924
366 1.34666
368 1.346401
370 1.346148
372 1.345899
374 1.345655
376 1.345415
378 1.34518
380 1.344949
382 1.344723
384 1.3445
386 1.344282
388 1.344067
390 1.343856
392 1.343649
394 1.343445
396 1.343245
398 1.343048
400 1.342855
402 1.342665
404 1.342478
406 1.342294
408 1.342113
410 1.341935
412 1.34176
414 1.341587
