wl [nm]	refractive_index 	+/- error 
at T=20.0 degC, S=200.0 PSU, depol.ratio=0.039, Theta=90.0 deg
300.0	   1.4003585520	   0.0000300000
302.0	   1.3997639958	   0.0000300000
304.0	   1.3991839546	   0.0000300000
306.0	   1.3986179438	   0.0000300000
308.0	   1.3980654981	   0.0000300000
310.0	   1.3975261711	   0.0000300000
312.0	   1.3969995340	   0.0000300000
314.0	   1.3964851749	   0.0000300000
316.0	   1.3959826983	   0.0000300000
318.0	   1.3954917239	   0.0000300000
320.0	   1.3950118864	   0.0000300000
322.0	   1.3945428343	   0.0000300000
324.0	   1.3940842298	   0.0000300000
326.0	   1.3936357477	   0.0000300000
328.0	   1.3931970755	   0.0000300000
330.0	   1.3927679119	   0.0000300000
332.0	   1.3923479674	   0.0000300000
334.0	   1.3919369629	   0.0000300000
336.0	   1.3915346297	   0.0000300000
338.0	   1.3911407090	   0.0000300000
340.0	   1.3907549513	   0.0000300000
342.0	   1.3903771163	   0.0000300000
344.0	   1.3900069722	   0.0000300000
346.0	   1.3896442956	   0.0000300000
348.0	   1.3892888710	   0.0000300000
350.0	   1.3889404906	   0.0000300000
352.0	   1.3885989538	   0.0000300000
354.0	   1.3882640671	   0.0000300000
356.0	   1.3879356436	   0.0000300000
358.0	   1.3876135031	   0.0000300000
360.0	   1.3872974712	   0.0000300000
362.0	   1.3869873799	   0.0000300000
364.0	   1.3866830666	   0.0000300000
366.0	   1.3863843742	   0.0000300000
368.0	   1.3860911511	   0.0000300000
370.0	   1.3858032505	   0.0000300000
372.0	   1.3855205305	   0.0000300000
374.0	   1.3852428542	   0.0000300000
376.0	   1.3849700887	   0.0000300000
378.0	   1.3847021058	   0.0000300000
380.0	   1.3844387813	   0.0000300000
382.0	   1.3841799951	   0.0000300000
384.0	   1.3839256309	   0.0000300000
386.0	   1.3836755760	   0.0000300000
388.0	   1.3834297215	   0.0000300000
390.0	   1.3831879617	   0.0000300000
392.0	   1.3829501945	   0.0000300000
394.0	   1.3827163206	   0.0000300000
396.0	   1.3824862442	   0.0000300000
398.0	   1.3822598722	   0.0000300000
400.0	   1.3820371144	   0.0000300000
402.0	   1.3818178833	   0.0000300000
404.0	   1.3816020942	   0.0000300000
406.0	   1.3813896649	   0.0000300000
408.0	   1.3811805156	   0.0000300000
410.0	   1.3809745689	   0.0000300000
412.0	   1.3807717499	   0.0000300000
414.0	   1.3805719855	   0.0000300000
416.0	   1.3803752052	   0.0000300000
418.0	   1.3801813404	   0.0000300000
420.0	   1.3799903242	   0.0000300000
422.0	   1.3798020921	   0.0000300000
424.0	   1.3796165812	   0.0000300000
426.0	   1.3794337304	   0.0000300000
428.0	   1.3792534805	   0.0000300000
430.0	   1.3790757738	   0.0000300000
432.0	   1.3789005543	   0.0000300000
434.0	   1.3787277675	   0.0000300000
436.0	   1.3785573606	   0.0000300000
438.0	   1.3783892821	   0.0000300000
440.0	   1.3782234820	   0.0000300000
442.0	   1.3780599116	   0.0000300000
444.0	   1.3778985236	   0.0000300000
446.0	   1.3777392720	   0.0000300000
448.0	   1.3775821120	   0.0000300000
