,wl,pure,salty,cdom,bbw,Kd
0,300.0,0.00467,0.00467,5.759272676005731,,
1,302.0,0.00433,0.00433,5.616851029693158,,
2,304.0,0.00356,0.00356,5.477507391727201,,
3,306.0,0.00313,0.00313,5.341925149073176,,
4,308.0,0.00275,0.00275,5.209729827179849,,
5,310.0,0.00236,0.00236,5.080779037180082,,
6,312.0,0.00205,0.00205,4.955082424395115,,
7,314.0,0.00185,0.00185,4.832591618110279,,
8,316.0,0.00176,0.00176,4.713230182590742,,
9,318.0,0.00163,0.00163,4.596773569306689,,
10,320.0,0.00147,0.00147,4.483159070338065,,
11,322.0,0.00133,0.00133,4.372365772929759,,
12,324.0,0.00124,0.00124,4.264354515168819,,
13,326.0,0.00118,0.00118,4.159037842756007,,
14,328.0,0.00112,0.00112,4.056319966844676,,
15,330.0,0.00107,0.00107,3.956146722920577,,
16,332.0,0.00101,0.00101,3.8584355306969744,,
17,334.0,0.00099,0.00099,3.763175354999911,,
18,336.0,0.00095,0.00095,3.6702466676192445,,
19,338.0,0.00091,0.00091,3.57961141010158,,
20,340.0,0.00085,0.00085,3.491192957461841,,
21,342.0,0.00082,0.00082,3.404986082790819,,
22,344.0,0.00081,0.00081,3.320926922736548,,
23,346.0,0.00082,0.00082,3.238962943837961,,
24,348.0,0.00084,0.00084,3.1590329096897682,,
25,350.0,0.00089,0.00089,3.081106848918031,0.005917300004512072,0.009873328644656235
26,352.0,0.00094,0.00094,3.0051060239464333,0.005773780023446307,0.009710469563298865
27,354.0,0.00097,0.00097,2.9309629005337015,0.0056302600423805416,0.00952539923520195
28,356.0,0.00098,0.00098,2.858631118063164,0.00549218002561247,0.009326536695023981
29,358.0,0.00099,0.00099,2.788085460565851,0.005359539944038261,0.009135894099289365
30,360.0,0.00106,0.00106,2.719341828459045,0.005226899862464052,0.00901065764613317
31,362.0,0.00115,0.00115,2.652317210982607,0.005104179872432724,0.00892196788194697
32,364.0,0.0012,0.0012,2.5869096593158463,0.004981459875125438,0.008789429673210527
33,366.0,0.00121,0.00121,2.523078260358148,0.00486323991935933,0.008620161313847638
